profile_x, profile_y
12276.0, 11993.0
15190.0, 18076.0
8586.0, 29175.0
20692.0, 10499.0
14277.0, 13379.0
10380.0, 15249.0
11723.0, 15705.0
18122.0, 17483.0
10574.0, 11245.0
18948.0, 13720.0
13415.0, 23666.0
17729.0, 16595.0
6938.0, 26477.0
11450.0, 20703.0
23269.0, 18598.0
10643.0, 9798.0
14738.0, 9240.0
17780.0, 14221.0
10968.0, 11840.0
20953.0, 23547.0
15093.0, 19328.0
15699.0, 14465.0
11663.0, 8314.0
8861.0, 13029.0
13229.0, 13460.0
8964.0, 23913.0
13044.0, 13465.0
7918.0, 25613.0
15684.0, 11114.0
17717.0, 20719.0
7380.0, 22553.0
14164.0, 14979.0
10433.0, 15239.0
9096.0, 20518.0
7482.0, 9623.0
14342.0, 12995.0
13269.0, 13229.0
10348.0, 11591.0
11557.0, 19854.0
13815.0, 9997.0
18413.0, 13823.0
15072.0, 15613.0
15401.0, 26786.0
10596.0, 16736.0
12888.0, 14437.0
8330.0, 9947.0
11707.0, 9595.0
11190.0, 15413.0
13014.0, 11275.0
12952.0, 20655.0
15593.0, 25723.0
12331.0, 15658.0
7213.0, 16993.0
14025.0, 26740.0
12957.0, 14071.0
11166.0, 9721.0
13400.0, 17346.0
13507.0, 19946.0
13399.0, 12301.0
12822.0, 13630.0
13768.0, 20609.0
8296.0, 16300.0
9720.0, 11829.0
11198.0, 12789.0
11250.0, 14175.0
9615.0, 29802.0
12896.0, 14295.0
14959.0, 21527.0
19906.0, 17296.0
9368.0, 18933.0
18313.0, 11137.0
24558.0, 23441.0
11807.0, 16348.0
12530.0, 23311.0
14473.0, 20069.0
20802.0, 11744.0
8548.0, 19184.0
10179.0, 14897.0
13032.0, 17089.0
12839.0, 12879.0
10002.0, 14868.0
12489.0, 14250.0
10280.0, 11339.0
19182.0, 12439.0
15129.0, 18597.0
17147.0, 20757.0
14024.0, 21523.0
12186.0, 11548.0
12988.0, 22411.0
10811.0, 23278.0
10225.0, 18620.0
9482.0, 11624.0
7891.0, 20119.0
9953.0, 11332.0
10824.0, 17331.0
10551.0, 15902.0
14017.0, 17272.0
13714.0, 20171.0
10781.0, 17986.0
8732.0, 14394.0
10829.0, 21272.0
8884.0, 19784.0
8477.0, 16720.0
13095.0, 20662.0
17444.0, 12968.0
12327.0, 15639.0
12591.0, 15320.0
13139.0, 21796.0
10630.0, 9099.0
14897.0, 15482.0
6993.0, 10439.0
10536.0, 14394.0
23704.0, 10173.0
17255.0, 13539.0
9945.0, 13244.0
10918.0, 15685.0
11350.0, 21127.0
12356.0, 13011.0
11307.0, 18633.0
10649.0, 13322.0
14829.0, 9675.0
16565.0, 25747.0
9969.0, 26907.0
18757.0, 19845.0
13715.0, 18825.0
19050.0, 15968.0
9150.0, 14488.0
13826.0, 14042.0
13219.0, 22722.0
8633.0, 7454.0
9760.0, 13112.0
16751.0, 13168.0
14197.0, 13989.0
10447.0, 12888.0
9916.0, 16249.0
18121.0, 15717.0
15943.0, 15174.0
9889.0, 13031.0
9076.0, 16318.0
13873.0, 24575.0
14538.0, 10883.0
10041.0, 18925.0
12156.0, 11093.0
15717.0, 23303.0
12300.0, 13532.0
16972.0, 22522.0
19078.0, 9661.0
18514.0, 20993.0
8332.0, 15774.0
10381.0, 15554.0
7734.0, 13022.0
9683.0, 13923.0
18729.0, 23637.0
19796.0, 20621.0
12699.0, 13755.0
10187.0, 9856.0
13940.0, 12598.0
11895.0, 15232.0
16506.0, 13390.0
30420.0, 12882.0
16480.0, 11559.0
16800.0, 14761.0
21918.0, 19703.0
13063.0, 11993.0
18594.0, 10243.0
14631.0, 8453.0
11216.0, 8266.0
17833.0, 11473.0
14500.0, 21393.0
13436.0, 16041.0
14846.0, 25445.0
17647.0, 14432.0
22034.0, 28653.0
11652.0, 16080.0
13421.0, 15567.0
18848.0, 15618.0
18212.0, 22397.0
15023.0, 16345.0
14584.0, 20950.0
16925.0, 18626.0
18282.0, 26603.0
14632.0, 9777.0
12412.0, 11063.0
17019.0, 9868.0
16188.0, 15371.0
12287.0, 15849.0
12881.0, 14820.0
10245.0, 16482.0
11848.0, 23993.0
11485.0, 12271.0
11196.0, 11778.0
13566.0, 14416.0
9194.0, 22572.0
14686.0, 10944.0
13511.0, 10959.0
10439.0, 10669.0
22516.0, 23846.0
11277.0, 15662.0
9738.0, 19605.0
10970.0, 13610.0
12218.0, 9937.0
10128.0, 33561.0
9614.0, 17143.0
10759.0, 21066.0
13806.0, 18494.0
11872.0, 19084.0
13266.0, 17831.0
12780.0, 28275.0
25090.0, 15221.0
11300.0, 14031.0
13296.0, 13894.0
18366.0, 13820.0
11673.0, 18608.0
10224.0, 13284.0
9797.0, 21592.0
12705.0, 15151.0
14875.0, 14413.0
15031.0, 13877.0
26468.0, 21238.0
12015.0, 22972.0
12687.0, 20247.0
19354.0, 27282.0
17489.0, 20650.0
10773.0, 18774.0
10167.0, 14103.0
15019.0, 17773.0
12393.0, 17476.0
13919.0, 19904.0
16360.0, 17791.0
14056.0, 27505.0
13399.0, 16686.0
17693.0, 16455.0
13608.0, 20625.0
17704.0, 12293.0
20034.0, 17901.0
13825.0, 14226.0
16318.0, 14879.0
26846.0, 17906.0
17021.0, 26140.0
15910.0, 16904.0
13246.0, 22240.0
15890.0, 17164.0
10997.0, 14700.0
15074.0, 15746.0
14723.0, 21782.0
19382.0, 17240.0
20632.0, 13268.0
12975.0, 17457.0
12777.0, 20485.0
10912.0, 13925.0
20314.0, 16799.0
18322.0, 19755.0
16828.0, 18543.0
17305.0, 15521.0
24866.0, 23610.0
15835.0, 18515.0
12305.0, 13435.0
17826.0, 23464.0
19871.0, 12419.0
19132.0, 11492.0
11070.0, 21289.0
12637.0, 26128.0
13909.0, 15525.0
18040.0, 22139.0
19281.0, 12493.0
21011.0, 20239.0
10107.0, 18232.0
13094.0, 18156.0
18668.0, 16274.0
24645.0, 19281.0
13567.0, 10517.0
12950.0, 9744.0
14256.0, 13736.0
